Name,Price
"Samsung Galaxy S24 5G AI Smartphone (Amber Yellow, 8GB, 128GB Storage)","₹56,149"
"Samsung Galaxy S24 5G AI Smartphone (Marble Gray, 8GB, 128GB Storage)","₹57,499"
"Samsung Galaxy S24 5G AI Smartphone (Cobalt Violet, 8GB, 256GB Storage)","₹76,999"
"Samsung Galaxy S24 5G AI Smartphone (Onyx Black, 8GB, 256GB Storage)","₹76,999"
"Samsung Galaxy S24 5G AI Smartphone (Amber Yellow, 8GB, 256GB Storage)","₹76,999"
"Samsung Galaxy S24 5G AI Smartphone (Onyx Black, 8GB, 128GB Storage)","₹74,999"
"Samsung Galaxy S24 Ultra 5G AI Smartphone (Titanium Yellow, 12GB, 256GB Storage)","₹1,24,999"
"Samsung Galaxy S24 Ultra 5G AI Smartphone (Titanium Gray, 12GB, 256GB Storage)","₹1,24,999"
"Samsung Galaxy S24 Ultra 5G AI Smartphone (Titanium Black, 12GB, 256GB Storage)","₹1,24,999"
"itel S24 (8GB RAM + 128GB ROM) Upto 16GB RAM with Memory Fusion | 108MP AI Rear Camera | 6.6"" HD+ 90 Hz Punch Hole | Helio G91 | Dual DTS Speakers | Side Fingerprint | 18W Type C | Dawn White","₹9,999"
"Samsung Galaxy S24 5G AI Smartphone (Onyx Black, 8GB, 512GB Storage)","₹85,999"
"Samsung Galaxy S24 Ultra 5G AI Smartphone (Titanium Gray, 12GB, 512GB Storage)","₹1,33,999"
"Samsung Galaxy S24 Ultra 5G AI Smartphone (Titanium Black, 12GB, 512GB Storage)","₹1,33,999"
"Samsung Galaxy S24 5G AI Smartphone (Amber Yellow, 8GB, 512GB Storage)","₹85,999"
"itel S24 (8GB RAM + 128GB ROM) upto 16GB RAM with Memory Fusion | 108MP AI Rear Camera | 6.6"" HD+ 90 Hz Punch Hole | Helio G91 | Dual DTS Speakers | Side Fingerprint | 18W Type C | Starry Black","₹9,999"
SAMSUNG GALAXY S23 FE 5G (MINT 128 GB STORAGE) (8 GB RAM),"₹35,684"
